"","subject","filename","word","vowel","start","end","duration","f0_20","f0_50","f0_80","f1_20","f1_40","f1_50","f1_60","f1_80","f2_20","f2_40","f2_50","f2_60","f2_80","f3_20","f3_40","f3_50","f3_60","f3_80","Analyst","Date","Settings","Praat.Version","OS","group","language","time","age","sex","city","country","education","history_welsh","history_other","use_welsh","use_other","proficiency_welsh","proficiency_other","attitudes_welsh","attitudes_other","score_welsh","score_other","dominance","hz.max","f1_norm","f2_norm","f3_norm","syll_type2","unpred","length"
"134","ar_002","welsh_002_production_w_20171102","llen","e",167.68067828755,167.813748835451,133.07054790107,145.987785983154,135.938502009691,125.626984075804,579.960611381387,611.695465891029,619.455361098336,605.505042882472,602.590998949558,1903.70789348327,1930.12351570438,1917.3058863844,1899.01084991616,1870.1764397262,2650.70791420898,2647.40787182025,2658.10432943752,2713.98095249207,2789.57482619675,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.670099179479746,0.459736473847909,0.786428667993728,"short","unpredictable","short"
"142","ar_002","welsh_002_production_w_20171102","tan","a",149.249798978717,149.442462576666,192.66359794912,143.749084616336,142.292073508478,148.953972131117,807.438249926943,833.887574112931,818.911447722093,767.821944075127,744.039850712915,1461.37532302616,1436.26862843237,1451.99300165912,1488.38949175844,1603.53337204139,2300.43656427034,2272.53270011649,2328.09669681787,2429.36502813134,2777.66311484954,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.39096386604635,0.181752553964811,0.653866522808188,"short","unpredictable","short"
"240","ar_002","welsh_002_production_w_20171102","byt","ɨ",232.262454366361,232.335615236835,73.1608704735435,189.148507951991,196.088928525234,196.951893884231,335.7267719779,314.525294870062,322.991780613608,323.46751185911,297.178977284874,2089.56097297512,2141.47556433029,2147.81702753065,2141.68716656066,2155.87505459802,2611.93623202275,2726.73457683271,2764.77290980273,2795.30092935733,2839.7978927038,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-1.32131294573214,0.573267447672332,0.825773958698979,"voiceless","predictable","short"
"241","ar_002","welsh_002_production_w_20171102","byt","ɨ",235.352744472789,235.481658995273,128.914522483938,204.372177486214,226.046982989711,248.513051481888,321.966729859542,327.697973599525,335.324486266309,356.536262200729,348.609817384833,2234.77768948774,2342.62041135622,2373.11984743647,2413.51513901117,2337.71436518221,2869.92979707646,3176.51876982486,3125.77019013445,3036.57419013448,3003.51159641826,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-1.28384114287443,0.673020938154839,0.948496171032722,"voiceless","predictable","short"
"242","ar_002","welsh_002_production_w_20171102","byt","ɨ",239.062058282772,239.16187360581,99.8153230383138,180.30145406415,203.399042220353,220.631929566119,333.309173089499,307.325258313459,322.624731073917,323.647610680259,339.820771576817,2182.73404694175,2247.60763676905,2241.23393437017,2288.29394065991,2348.06846840732,2670.46512651148,2810.75218168888,2802.02569021182,2778.07154267643,3003.00193086422,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-1.32244999713213,0.615842035123244,0.839158073767304,"voiceless","predictable","short"
"243","ar_002","welsh_002_production_w_20171102","byt","ɨ",243.901274736685,244.020658557208,119.383820522216,205.246875598667,236.0574319286,263.424121943216,306.546738161935,287.146584172948,300.943232408718,290.916752432332,288.586970389068,2262.73197694232,2393.90770834188,2420.96235621304,2362.73449613462,2312.24861792133,2708.60288337409,2849.15859903709,2973.63386506109,2805.67086685698,2876.46944060214,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-1.39201817130081,0.692980586344134,0.898600185877013,"voiceless","predictable","short"
"244","ar_002","welsh_002_production_w_20171102","cy:n","ɨ:",247.904778172138,247.980622495573,75.8443234351773,218.041260850476,215.450491726506,201.286720916228,328.061549009178,374.949282549808,391.567591088494,400.499009174885,403.045543653307,2580.43256325079,2562.93949251369,2556.76082434857,2546.24697421787,2528.49819180115,3203.9896839403,3158.49723447477,3149.05979903773,3126.1588324031,3175.05864421141,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-1.12878167462667,0.747556611698734,0.955919389156425,"long","unpredictable","long"
"245","ar_002","welsh_002_production_w_20171102","cy:n","ɨ:",251.248623847147,251.398790800723,150.166953576729,211.51865043558,223.788073483762,230.480471162155,273.518988389686,307.189818220146,344.774016464694,378.495753957308,426.834797240072,2535.68327661486,2506.24007226738,2501.76491280127,2500.31037385647,2494.88451638477,3053.29795181899,2931.91098204193,3097.26738751419,3299.32151881663,2961.57558714238,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-1.25605064394541,0.725811905286323,0.939335692221349,"long","unpredictable","long"
"246","ar_002","welsh_002_production_w_20171102","cy:n","ɨ:",255.13441940146,255.247054467578,112.635066118059,249.316416814609,252.079320201579,244.922359449987,312.348866579971,417.124036475725,401.325181437376,383.05037945749,416.221151674843,2543.27528958163,2601.28248510782,2577.76446456168,2529.38738169169,2458.05599186346,3203.91304801217,3309.62874631254,3283.63039199473,3174.6387790033,2948.62559665498,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-1.10416779665307,0.755737994080832,0.997765094510322,"long","unpredictable","long"
"247","ar_002","welsh_002_production_w_20171102","cy:n","ɨ:",258.795485746679,258.980202839866,184.717093186463,207.099112438649,216.375875400871,214.330355361388,273.59505921359,273.165865921912,270.954532218196,289.031047473673,316.900852520331,2455.17553682944,2399.39108267754,2369.26770303621,2319.42211406406,2377.16883658445,2999.54216680738,2790.89709535086,2837.29637587813,2821.63936084739,2873.02397698286,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-1.49698879260352,0.671396378708158,0.851667075795272,"long","unpredictable","long"
